Pedigree name	Stream	CollectionMethod	Agency	ProjectName	SampleSize	NumGenotyped	Latitude	Longitude	Datum	UTMEast	UTMNorth	UTMZone
OmyAGCY09C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2009 Lemhi ISEMP STHD-juv	39	0			WGS84	291262	4982091	12
OmyAGCY10C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2010 Lemhi ISEMP STHD-juv	40	0	44.96413768	-113.6469084	WGS84	291253	4982380	12
OmyAGCY11C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2011 Lemhi ISEMP STHD-juv	61	0	44.96413768	-113.6469084	WGS84	291253	4982380	12
OmyAGCY13C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2013 Lemhi ISEMP STHD-juv	40	40						
OmyAGCY13S	Agency Creek -> Lemhi River - HydroID: 1771	Weir	IDFG	SY2013 Lemhi River O. mykiss Introgression	5	5						
OmyAGCY14C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	38	0	44.97243166999999	-113.5266117				
OmyAGCY15C	Agency Creek -> Lemhi River - HydroID: 1771	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	40	0	44.95478833	-113.5509683	WGS84			
OmyBIG814C	Big Eightmile Creek -> Lemhi River - HydroID: 1595	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	39	0	44.73556833000001	-113.4642533				
OmyBIG815C	Big Eightmile Creek -> Lemhi River - HydroID: 1595	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	31	0	44.737095	-113.46323	WGS84			
OmyBSPR11C	Big Springs Creek -> Lemhi River - HydroID: 1622	Electrofishing	QCI	CY2011 Lemhi ISEMP STHD-juv	15	15						
OmyBSPR13C	Big Springs Creek -> Lemhi River - HydroID: 1622	Electrofishing	QCI	CY2013 Lemhi ISEMP STHD-juv	20	20						
OmyBSPR14C	Big Springs Creek -> Lemhi River - HydroID: 1622	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	20	0	44.72685666999999	-113.4325617				
OmyBSPR15C	Big Springs Creek -> Lemhi River - HydroID: 1622	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	40	0	44.72701833	-113.43262	WGS84			
OmyBTMB10C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	QCI	CY2010 Lemhi ISEMP STHD-juv	27	0	44.69943799000001	-113.3755689	WGS84	311792	4952311	12
OmyBTMB11C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	QCI	CY2011 Lemhi ISEMP STHD-juv	74	0	44.69943799000001	-113.3755689	WGS84	311792	4952311	12
OmyBTMB12C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	IDFG	CY2012 Lemhi ISEMP STHD-juv	2	0						
OmyBTMB12S	Big Timber Creek -> Lemhi River - HydroID: 1526	Weir	IDFG	SY2012 Lemhi River O. mykiss Introgression	2	1	44.68407	-113.36914	WGS84	312251	4950587	12
OmyBTMB13C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	QCI	CY2013 Lemhi ISEMP STHD-juv	53	53						
OmyBTMB13S	Big Timber Creek -> Lemhi River - HydroID: 1526	Weir	IDFG	SY2013 Lemhi River O. mykiss Introgression	1	1						
OmyBTMB14C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	60	0	44.665655	-113.3758467				
OmyBTMB15C	Big Timber Creek -> Lemhi River - HydroID: 1526	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	59	0	44.65929700000001	-113.3782933	WGS84			
OmyBOHA10C	Bohannon Creek -> Lemhi River - HydroID: 1885	Electrofishing	QCI	CY2010 Lemhi ISEMP STHD-juv	40	0	45.11192913	-113.7472254	WGS84	283899	4999062	12
OmyBOHA11C	Bohannon Creek -> Lemhi River - HydroID: 1885	Electrofishing	QCI	CY2011 Lemhi ISEMP STHD-juv	75	0	45.11192913	-113.7472254	WGS84	283899	4999062	12
OmyBOHA12S	Bohannon Creek -> Lemhi River - HydroID: 1885	Weir	IDFG	SY2012 Lemhi River O. mykiss Introgression	23	23	45.11242	-113.74626	WGS84	283976	4999109	12
OmyBOHA13C	Bohannon Creek -> Lemhi River - HydroID: 1885	Electrofishing	QCI	CY2013 Lemhi ISEMP STHD-juv	40	40						
OmyBOHA13S	Bohannon Creek -> Lemhi River - HydroID: 1885	Weir	IDFG	SY2013 Lemhi River O. mykiss Introgression	8	8						
OmyBOHA14C	Bohannon Creek -> Lemhi River - HydroID: 1885	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	30	0	45.12343833	-113.7315483				
OmyBOHA15C	Bohannon Creek -> Lemhi River - HydroID: 1885	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	40	0	45.13592	-113.71814	WGS84			
OmyCNYL10C	Canyon Creek -> Lemhi River - HydroID: 1524	Electrofishing	QCI	CY2010 Lemhi ISEMP STHD-juv	40	0	44.69118179000001	-113.3661068	WGS84	312515	4951372	12
OmyCNYL11C	Canyon Creek -> Lemhi River - HydroID: 1524	Electrofishing	QCI	CY2011 Lemhi ISEMP STHD-juv	50	0	44.69118179000001	-113.3661068	WGS84	312515	4951372	12
OmyCNYL12S	Canyon Creek -> Lemhi River - HydroID: 1524	Weir	IDFG	SY2012 Lemhi River O. mykiss Introgression	2	2	44.69165000000001	-113.35629	WGS84	313294	4951399	12
OmyCNYL13C	Canyon Creek -> Lemhi River - HydroID: 1524	Electrofishing	QCI	CY2013 Lemhi ISEMP STHD-juv	42	42						
OmyCNYL14C	Canyon Creek -> Lemhi River - HydroID: 1524	Electrofishing	QCI	CY2014 Lemhi ISEMP STHD-juv	30	0	44.69112833000001	-113.3632717				
OmyCNYL15C	Canyon Creek -> Lemhi River - HydroID: 1524	Electrofishing	QCI	CY2015 Lemhi ISEMP STHD-juv	37	0	44.69700833000001	-113.3378483	WGS84			
OmyHAYW10C	Hayden Creek -> Lemhi River - HydroID: 1741	Screw trap	QCI	CY2010 Lemhi ISEMP STHD-juv	61	61	44.86155692	-113.6318847	WGS84	292068	4970946	12
OmyHAYW11C	Hayden Creek -> Lemhi River - HydroID: 1741	Screw trap	QCI	CY2011 Lemhi ISEMP STHD-juv	119	0	44.86155692	-113.6318847	WGS84	292068	4970946	12
OmyHAYW12S	Hayden Creek -> Lemhi River - HydroID: 1741	Weir	IDFG	SY2012 Lemhi River O. mykiss Introgression	28	28	45.85998	-113.63239	WGS84	295656	5081861	12
OmyHAYW13C	Hayden Creek -> Lemhi River - HydroID: 1741	Screw trap	IDFG	CY2013 Lemhi ISEMP STHD-juv	120	0	44.86155692	-113.6318847	WGS84	292068	4970946	12
OmyHAYW13S	Hayden Creek -> Lemhi River - HydroID: 1741	Weir	IDFG	SY2013 Lemhi River O. mykiss Introgression	8	8						
OmyHAYW14C	Hayden Creek -> Lemhi River - HydroID: 1741	Screw trap	IDFG	CY2014 Lemhi ISEMP STHD-juv	100	0	44.86160000000001	-113.63188	WGS84	292068	4970947	12
