Basin,Lineage,LifeStage,Stream,Year,CollectionMethod,Agency,Pedigree name,SampleSize,NumGenotyped,pCoastal,pRedband,Stream,ProjectName,Latitude,Longitude,Datum,UTMEast,UTMNorth,UTMZone
Lemhi,Unknown,Adult,Agency Creek,2013,Weir,IDFG,OmyAGCY13S,5,5,0.095,0.905,Agency Creek -> Lemhi River - HydroID: 1771,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Big Timber Creek,2012,Weir,IDFG,OmyBTMB12S,2,2,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,SY2012 Lemhi River O. mykiss Introgression,44.68407,-113.36914,WGS84,312251,4950587,12
Lemhi,Unknown,Adult,Big Timber Creek,2013,Weir,IDFG,OmyBTMB13S,1,1,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Bohannon Creek,2012,Weir,IDFG,OmyBOHA12S,23,23,0.059,0.941,Bohannon Creek -> Lemhi River - HydroID: 1885,SY2012 Lemhi River O. mykiss Introgression,45.11242,-113.74626,WGS84,283976,4999109,12
Lemhi,Unknown,Adult,Bohannon Creek,2013,Weir,IDFG,OmyBOHA13S,8,8,0.064,0.936,Bohannon Creek -> Lemhi River - HydroID: 1885,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Canyon Creek,2012,Weir,IDFG,OmyCNYL12S,2,2,0.405,0.595,Canyon Creek -> Lemhi River - HydroID: 1524,SY2012 Lemhi River O. mykiss Introgression,44.69165,-113.35629,WGS84,313294,4951399,12
Lemhi,Unknown,Adult,Hayden Creek,2012,Weir,IDFG,OmyHAYW12S,28,28,0.05,0.95,Hayden Creek -> Lemhi River - HydroID: 1741,SY2012 Lemhi River O. mykiss Introgression,45.85998,-113.63239,WGS84,295656,5081861,12
Lemhi,Unknown,Adult,Hayden Creek,2013,Weir,IDFG,OmyHAYW13S,8,8,0.095,0.905,Hayden Creek -> Lemhi River - HydroID: 1741,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Kenney Creek,2012,Weir,IDFG,OmyKENY12S,9,9,0.093,0.907,Kenney Creek -> Lemhi River - HydroID: 1782,SY2012 Lemhi River O. mykiss Introgression,45.02684,-113.65466,WGS84,290869,4989362,12
Lemhi,Unknown,Adult,Kenney Creek,2013,Weir,IDFG,OmyKENY13S,6,6,0.163,0.837,Kenney Creek -> Lemhi River - HydroID: 1782,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Pratt Creek,2013,Weir,IDFG,OmyPRAT13S,7,7,0.034,0.966,Pratt Creek -> Lemhi River - HydroID: 1834,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Adult,Wimpey Creek,2012,Weir,IDFG,OmyWIMP12S,21,21,0.034,0.966,Wimpey Creek -> Lemhi River - HydroID: 1850,SY2012 Lemhi River O. mykiss Introgression,45.09756,-113.72044,WGS84,285952,4997390,12
Lemhi,Unknown,Adult,Wimpey Creek,2013,Weir,IDFG,OmyWIMP13S,2,2,0.009,0.991,Wimpey Creek -> Lemhi River - HydroID: 1850,SY2013 Lemhi River O. mykiss Introgression,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Juvenile,Hayden Creek,2010,Screw trap,QCI,OmyHAYW10C,61,61,0.1,0.9,Hayden Creek -> Lemhi River - HydroID: 1741,CY2010 Lemhi ISEMP STHD-juv,44.861557,-113.631885,WGS84,292068,4970946,12
Lemhi,Unknown,Juvenile,Hayden Creek,2011,Screw trap,QCI,OmyHAYW11C,119,0,NA,NA,Hayden Creek -> Lemhi River - HydroID: 1741,CY2011 Lemhi ISEMP STHD-juv,44.861557,-113.631885,WGS84,292068,4970946,12
Lemhi,Unknown,Juvenile,Hayden Creek,2013,Screw trap,IDFG,OmyHAYW13C,120,0,NA,NA,Hayden Creek -> Lemhi River - HydroID: 1741,CY2013 Lemhi ISEMP STHD-juv,44.861557,-113.631885,WGS84,292068,4970946,12
Lemhi,Unknown,Juvenile,Hayden Creek,2014,Screw trap,IDFG,OmyHAYW14C,100,0,NA,NA,Hayden Creek -> Lemhi River - HydroID: 1741,CY2014 Lemhi ISEMP STHD-juv,44.8616,-113.63188,WGS84,292068,4970947,12
Lemhi,Unknown,Juvenile,Hayden Creek,2015,Screw trap,IDFG,OmyHAYW15C,120,0,NA,NA,Hayden Creek -> Lemhi River - HydroID: 1741,CY2015 Lemhi ISEMP STHD-juv,44.8616,-113.63188,WGS84,292068,4970947,12
Lemhi,Unknown,Juvenile,Hayden Creek,2016,Screw trap,IDFG,OmyHAYW16C,91,0,NA,NA,Hayden Creek -> Lemhi River - HydroID: 1741,CY2016 Lemhi ISEMP STHD-juv,44.8616,-113.63188,WGS84,292068,4970947,12
Lemhi,Unknown,Juvenile,Lemhi River,2004,Screw trap,IDFG,OmyLEMW04C,70,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2004 Snake R. STHD wild juveniles(weirs),44.826278,-113.602499,WGS84,294264,4966952,12
Lemhi,Unknown,Juvenile,Lemhi River,2008,Screw trap,IDFG,OmyLEMW08C,60,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2008 Snake R. STHD wild juveniles(weirs),44.826278,-113.602499,WGS84,294264,4966952,12
Lemhi,Unknown,Juvenile,Lemhi River,2010,Screw trap,QCI,OmyLEMW10C,96,64,0.67,0.33,Lemhi River -> Salmon River - HydroID: 2008,CY2010 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2011,Screw trap,QCI,OmyLEMW11C,99,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2011 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2013,Screw trap,IDFG,OmyLEMW13C,151,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2013 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2014,Screw trap,IDFG,OmyLEMW14C,119,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2014 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2015,Screw trap,IDFG,OmyLEMW15C,121,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2015 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2016,Screw trap,IDFG,OmyLEMW16C,100,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2016 Lemhi ISEMP STHD-juv,44.86917,-113.6251,WGS84,292631,4971771,12
Lemhi,Unknown,Juvenile,Lemhi River,2010,Screw trap,QCI,OmyLL3A10C,93,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2010 Lemhi ISEMP STHD-juv,45.15296,-113.81357,WGS84,278838,5003795,12
Lemhi,Unknown,Juvenile,Lemhi River,2011,Screw trap,QCI,OmyLL3A11C,113,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2010 Lemhi ISEMP STHD-juv,45.15296,-113.81357,WGS84,278838,5003795,12
Lemhi,Unknown,Juvenile,Lemhi River,2013,Screw trap,QCI,OmyLL3A13C,100,100,0.141,0.859,Lemhi River -> Salmon River - HydroID: 2008,CY2013 Lemhi ISEMP STHD-juv,45.15296,-113.81357,WGS84,278838,5003795,12
Lemhi,Unknown,Juvenile,Lemhi River,2014,Screw trap,QCI,OmyLL3A14C,100,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2014 Lemhi ISEMP STHD-juv,45.159641,-113.833012,WGS84,278838,5003795,12
Lemhi,Unknown,Juvenile,Lemhi River,2015,Screw trap,QCI,OmyLL3A15C,200,0,NA,NA,Lemhi River -> Salmon River - HydroID: 2008,CY2015 Lemhi ISEMP STHD-juv,45.159641,-113.833012,WGS84,278838,5003795,12
Lemhi,Unknown,Mixed,Agency Creek,2009,Electrofishing,QCI,OmyAGCY09C,39,0,NA,NA,Agency Creek -> Lemhi River - HydroID: 1771,CY2009 Lemhi ISEMP STHD-juv,NA,NA,WGS84,291262,4982091,12
Lemhi,Unknown,Mixed,Agency Creek,2010,Electrofishing,QCI,OmyAGCY10C,40,0,NA,NA,Agency Creek -> Lemhi River - HydroID: 1771,CY2010 Lemhi ISEMP STHD-juv,44.964138,-113.646908,WGS84,291253,4982380,12
Lemhi,Unknown,Mixed,Agency Creek,2011,Electrofishing,QCI,OmyAGCY11C,61,0,NA,NA,Agency Creek -> Lemhi River - HydroID: 1771,CY2011 Lemhi ISEMP STHD-juv,44.964138,-113.646908,WGS84,291253,4982380,12
Lemhi,Unknown,Mixed,Agency Creek,2013,Electrofishing,QCI,OmyAGCY13C,40,40,0.084,0.916,Agency Creek -> Lemhi River - HydroID: 1771,CY2013 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Agency Creek,2014,Electrofishing,QCI,OmyAGCY14C,38,0,NA,NA,Agency Creek -> Lemhi River - HydroID: 1771,CY2014 Lemhi ISEMP STHD-juv,44.972432,-113.526612,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Agency Creek,2015,Electrofishing,QCI,OmyAGCY15C,40,0,NA,NA,Agency Creek -> Lemhi River - HydroID: 1771,CY2015 Lemhi ISEMP STHD-juv,44.954788,-113.550968,WGS84,NA,NA,NA
Lemhi,Unknown,Mixed,Big Eightimile Creek,2014,Electrofishing,QCI,OmyBIG814C,39,0,NA,NA,Big Eightmile Creek -> Lemhi River - HydroID: 1595,CY2014 Lemhi ISEMP STHD-juv,44.735568,-113.464253,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Eightimile Creek,2015,Electrofishing,QCI,OmyBIG815C,31,0,NA,NA,Big Eightmile Creek -> Lemhi River - HydroID: 1595,CY2015 Lemhi ISEMP STHD-juv,44.737095,-113.46323,WGS84,NA,NA,NA
Lemhi,Unknown,Mixed,Big Springs Creek,2011,Electrofishing,QCI,OmyBSPR11C,15,15,0.723,0.277,Big Springs Creek -> Lemhi River - HydroID: 1622,CY2011 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Springs Creek,2013,Electrofishing,QCI,OmyBSPR13C,20,20,0.766,0.234,Big Springs Creek -> Lemhi River - HydroID: 1622,CY2013 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Springs Creek,2014,Electrofishing,QCI,OmyBSPR14C,20,0,NA,NA,Big Springs Creek -> Lemhi River - HydroID: 1622,CY2014 Lemhi ISEMP STHD-juv,44.726857,-113.432562,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Springs Creek,2015,Electrofishing,QCI,OmyBSPR15C,40,0,NA,NA,Big Springs Creek -> Lemhi River - HydroID: 1622,CY2015 Lemhi ISEMP STHD-juv,44.727018,-113.43262,WGS84,NA,NA,NA
Lemhi,Unknown,Mixed,Big Timber Creek,2010,Electrofishing,QCI,OmyBTMB10C,27,0,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2010 Lemhi ISEMP STHD-juv,44.699438,-113.375569,WGS84,311792,4952311,12
Lemhi,Unknown,Mixed,Big Timber Creek,2011,Electrofishing,QCI,OmyBTMB11C,74,0,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2011 Lemhi ISEMP STHD-juv,44.699438,-113.375569,WGS84,311792,4952311,12
Lemhi,Unknown,Mixed,Big Timber Creek,2012,Electrofishing,QCI,OmyBTMB12C,2,0,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2012 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Timber Creek,2013,Electrofishing,QCI,OmyBTMB13C,53,53,0.137,0.863,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2013 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Timber Creek,2014,Electrofishing,QCI,OmyBTMB14C,60,0,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2014 Lemhi ISEMP STHD-juv,44.665655,-113.375847,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Big Timber Creek,2015,Electrofishing,QCI,OmyBTMB15C,59,0,NA,NA,Big Timber Creek -> Lemhi River - HydroID: 1526,CY2015 Lemhi ISEMP STHD-juv,44.659297,-113.378293,WGS84,NA,NA,NA
Lemhi,Unknown,Mixed,Bohannon Creek,2010,Electrofishing,QCI,OmyBOHA10C,40,0,NA,NA,Bohannon Creek -> Lemhi River - HydroID: 1885,CY2010 Lemhi ISEMP STHD-juv,45.111929,-113.747225,WGS84,283899,4999062,12
Lemhi,Unknown,Mixed,Bohannon Creek,2011,Electrofishing,QCI,OmyBOHA11C,75,0,NA,NA,Bohannon Creek -> Lemhi River - HydroID: 1885,CY2011 Lemhi ISEMP STHD-juv,45.111929,-113.747225,WGS84,283899,4999062,12
Lemhi,Unknown,Mixed,Bohannon Creek,2013,Electrofishing,QCI,OmyBOHA13C,40,40,0.09,0.91,Bohannon Creek -> Lemhi River - HydroID: 1885,CY2013 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Bohannon Creek,2014,Electrofishing,QCI,OmyBOHA14C,30,0,NA,NA,Bohannon Creek -> Lemhi River - HydroID: 1885,CY2014 Lemhi ISEMP STHD-juv,45.123438,-113.731548,NA,NA,NA,NA
Lemhi,Unknown,Mixed,Bohannon Creek,2015,Electrofishing,QCI,OmyBOHA15C,40,0,NA,NA,Bohannon Creek -> Lemhi River - HydroID: 1885,CY2015 Lemhi ISEMP STHD-juv,45.13592,-113.71814,WGS84,NA,NA,NA
Lemhi,Unknown,Mixed,Canyon Creek,2010,Electrofishing,QCI,OmyCNYL10C,40,0,NA,NA,Canyon Creek -> Lemhi River - HydroID: 1524,CY2010 Lemhi ISEMP STHD-juv,44.691182,-113.366107,WGS84,312515,4951372,12
Lemhi,Unknown,Mixed,Canyon Creek,2011,Electrofishing,QCI,OmyCNYL11C,50,0,NA,NA,Canyon Creek -> Lemhi River - HydroID: 1524,CY2011 Lemhi ISEMP STHD-juv,44.691182,-113.366107,WGS84,312515,4951372,12
Lemhi,Unknown,Mixed,Canyon Creek,2013,Electrofishing,QCI,OmyCNYL13C,42,42,0.354,0.646,Canyon Creek -> Lemhi River - HydroID: 1524,CY2013 Lemhi ISEMP STHD-juv,NA,NA,NA,NA,NA,NA
