Pedigree,Individual,PITTagNum,DateSampled,LengthFork1,GenSex,Gender,FieldID1Type,FieldID1,BiosamplesID,Disposition1,FinClipStatus,Weight,RearType,ReturnLocation,UTMEast,UTMNorth,UTMZone,CWTNum,Marks,SnoutBag,CommentsGeneral,pCoastal,pRedband,lineage
OmyENIS06C_3,OmyENIS06C_3_0001,NA,6/28/2006,NA,NA,U,Vial#,ES-1,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.002,coastal
OmyENIS06C_3,OmyENIS06C_3_0002,NA,6/28/2006,NA,NA,U,Vial#,ES-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993,0.007,coastal
OmyENIS06C_3,OmyENIS06C_3_0003,NA,6/28/2006,NA,NA,U,Vial#,ES-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0004,NA,6/28/2006,NA,NA,U,Vial#,ES-4,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.002,coastal
OmyENIS06C_3,OmyENIS06C_3_0005,NA,6/28/2006,NA,NA,U,Vial#,ES-5,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993,0.007,coastal
OmyENIS06C_3,OmyENIS06C_3_0006,NA,6/28/2006,NA,NA,U,Vial#,ES-6,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyENIS06C_3,OmyENIS06C_3_0007,NA,6/28/2006,NA,NA,U,Vial#,ES-7,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0008,NA,6/28/2006,NA,NA,U,Vial#,ES-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0009,NA,6/28/2006,NA,NA,U,Vial#,ES-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0010,NA,6/28/2006,NA,NA,U,Vial#,ES-10,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991,0.009,coastal
OmyENIS06C_3,OmyENIS06C_3_0011,NA,6/28/2006,NA,NA,U,Vial#,ES-11,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0012,NA,6/28/2006,NA,NA,U,Vial#,ES-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyENIS06C_3,OmyENIS06C_3_0013,NA,6/28/2006,NA,NA,U,Vial#,ES-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
OmyENIS06C_3,OmyENIS06C_3_0014,NA,6/28/2006,NA,NA,U,Vial#,ES-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0015,NA,6/28/2006,NA,NA,U,Vial#,ES-15,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.002,coastal
OmyENIS06C_3,OmyENIS06C_3_0016,NA,6/28/2006,NA,NA,U,Vial#,ES-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0017,NA,6/28/2006,NA,NA,U,Vial#,ES-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982,0.018,coastal
OmyENIS06C_3,OmyENIS06C_3_0018,NA,6/28/2006,NA,NA,U,Vial#,ES-18,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,0.004,coastal
OmyENIS06C_3,OmyENIS06C_3_0019,NA,6/28/2006,NA,NA,U,Vial#,ES-19,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0020,NA,6/28/2006,NA,NA,U,Vial#,ES-20,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0021,NA,6/28/2006,NA,NA,U,Vial#,ES-21,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0022,NA,6/28/2006,NA,NA,U,Vial#,ES-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0023,NA,6/28/2006,NA,NA,U,Vial#,ES-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0024,NA,6/28/2006,NA,NA,U,Vial#,ES-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,0.006,coastal
OmyENIS06C_3,OmyENIS06C_3_0025,NA,6/28/2006,NA,NA,U,Vial#,ES-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0026,NA,6/28/2006,NA,NA,U,Vial#,ES-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,0.003,coastal
OmyENIS06C_3,OmyENIS06C_3_0027,NA,6/28/2006,NA,NA,U,Vial#,ES-27,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.005,coastal
