Pedigree,Individual,PITTagNum,Lineage,DateSampled,LengthFork1,GenSex,Gender,FieldID1Type,FieldID1,BiosamplesID,Disposition1,FinClipStatus,Weight,RearType,ReturnLocation,UTMEast,UTMNorth,UTMZone,CWTNum,Marks,SnoutBag,CommentsGeneral
OmyENIS06C_3,OmyENIS06C_3_0001,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-1,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0002,NA,Coastal,6/28/2006,NA,NA,U,Vial#,ES-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0003,NA,Introgressed,6/28/2006,NA,NA,U,Vial#,ES-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0004,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-4,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0005,NA,Coastal,6/28/2006,NA,NA,U,Vial#,ES-5,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0006,NA,Introgressed,6/28/2006,NA,NA,U,Vial#,ES-6,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0007,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-7,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0008,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0009,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0010,NA,Coastal,6/28/2006,NA,NA,U,Vial#,ES-10,NA,NA,NoEthanol/Soft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0011,NA,Introgressed,6/28/2006,NA,NA,U,Vial#,ES-11,NA,NA,NoEthanol/Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0012,NA,Redband,6/28/2006,NA,NA,U,Vial#,ES-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0013,NA,Coastal,6/28/2006,NA,NA,U,Vial#,ES-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OmyENIS06C_3,OmyENIS06C_3_0014,NA,Introgressed,6/28/2006,NA,NA,U,Vial#,ES-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
