pedigree,offspring,fieldID,pbtAssigned,dateSamples,pa,ma,popName,rearType,marks,lengthFork,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0001,A1,No,04/03/12,,,,W,NONE,746,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0002,A2,No,04/05/12,,,,W,NONE,268,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0003,A3,No,04/05/12,,,,W,NONE,703,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0004,A4,No,04/08/12,,,,W,NONE,719,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0005,A5,No,04/08/12,,,,W,NONE,,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0006,A6,No,04/10/12,,,,W,NONE,640,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0007,A7,Yes,04/11/12,OmyPAHH09S_0419,OmyPAHH09S_0503,OmyPAHH09S,H,AD,585,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0008,A8,No,04/11/12,,,,W,NONE,232,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0009,A9,No,04/14/12,,,,W,NONE,735,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0010,A10,Yes,04/14/12,OmyPAHH08S_0547,OmyPAHH08S_0607,OmyPAHH08S,H,AD,631,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0011,B1,No,04/16/12,,,,W,NONE,701,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0012,B2,No,04/18/12,,,,W,NONE,520,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0013,B3,No,04/19/12,,,,W,NONE,684,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0014,B4,No,04/21/12,,,,W,NONE,310,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0015,B5,Yes,04/22/12,OmyPAHH09S_0470,OmyPAHH09S_0554,OmyPAHH09S,H,AD,532,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0016,B6,No,04/22/12,,,,W,NONE,410,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0017,B7,Yes,04/24/12,OmyPAHH09S_0496,OmyPAHH09S_0580,OmyPAHH09S,H,AD,595,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0018,B8,No,04/25/12,,,,W,NONE,375,,,,,,,,,,,,,,,,,,
